site,keyword,country,branded,clicks,impressions,avg_position,ctr
https://www.luckyvibecasino.com,lucky vibe casino,aut,True,100,753,2.3,13.28
https://www.spinsup.io/,spinsup casino,ita,True,100,419,5.7,23.87
https://rocketspincasino.com/,rocket spin casino,ita,True,98,785,10.2,12.48
https://www.luckyvibecasino.com,lucky vibe casino,ita,True,97,1382,5.3,7.02
https://www.spinjo.io,spinjo,deu,True,95,2775,4.5,3.42
https://roostersbet.com,rooster bet,aus,True,92,2668,4.7,3.45
https://roosters.bet,roosterbet,can,True,87,1122,4.8,7.75
https://www.luckyvibe.io/,lucky vibe casino,can,True,87,812,5.0,10.71
https://roosters.bet,roster casino,ita,True,85,187,2.1,45.45
https://roosters.bet,rooster bet,bhr,True,85,128,1.7,66.41
https://www.playmojocasino.com/,playmojo,ita,True,85,568,7.8,14.96
https://roosters.bet,roosterbet casino,deu,True,84,746,3.0,11.26
https://www.spinsup.io/,spin up casino,che,True,83,103,1.5,80.58
https://fortuneplay.casino/,fortuneplay login,ita,True,82,228,2.1,35.96
https://fortuneplay.io,fortune play,ita,True,79,951,5.0,8.31
https://spinsupcasino.com/,spinsup casino,aus,True,78,2127,9.0,3.67
https://roosters.bet,rooster.bet casino,aus,True,77,152,1.5,50.66
https://www.casinorollero.com/,rollero casino,ita,True,76,1289,4.6,5.9
https://lucky7evencasino.com,lucky7even casino,dnk,True,75,206,1.7,36.41
https://www.casinospinjo.com,spinjo,ita,True,75,758,5.5,9.89
https://lucky7evencasino.com,lucky7even,irl,True,75,957,4.1,7.84
https://spinsupcasino.com/,spinsup,deu,True,75,2333,6.6,3.21
https://lucky7evencasino.io/,lucky7even,dnk,True,74,279,2.3,26.52
https://lucky7evencasino.io/,lucky7even,nzl,True,74,686,3.8,10.79
https://roosters.bet,roosterbet,dnk,True,73,90,1.1,81.11
https://www.luckyvibecasino.com,lucky vibe casino,qat,True,73,96,1.4,76.04
https://roostersbet.com,rooster bet casino,aus,True,73,2321,5.4,3.15
https://www.spinjocasino.com,spinjo casino,deu,True,72,3805,3.8,1.89
https://rocketspin.io/,rocketspin casino,nor,True,70,620,5.6,11.29
https://www.spinjocasino.com,spinjo casino,nor,True,70,376,4.0,18.62
https://rocketspincasino.com/,rocket spin,aus,True,69,684,5.8,10.09
https://roosters.bet,roosterbet,nzl,True,69,684,4.3,10.09
https://roosters.bet,roosterbet,irl,True,69,155,1.8,44.52
https://rocketspincasino.com/,rocket spin casino,aus,True,68,1635,4.6,4.16
https://lucky7evencasino.com,lucky7even,che,True,67,230,4.6,29.13
https://roosters.bet,rooster77,are,False,66,72,4.5,91.67
https://www.luckyvibecasino.com,lucky vibe casino,irl,True,66,88,1.6,75.0
https://roosters.bet,rooster bet casino,ita,True,65,615,4.4,10.57
https://www.luckyvibe.io/,luckyvibe,nor,True,65,1246,4.6,5.22
https://www.luckyvibecasino.com,luckyvibe casino,aus,True,65,1367,5.1,4.75
https://roosters.bet,roster bet,ita,True,64,160,2.1,40.0
https://www.luckyvibe.io/,lucky vibe,can,True,64,213,1.6,30.05
https://www.spinsup.io/,spinsup,che,True,63,183,4.2,34.43
https://roosters.bet,rooster bet casino login,aus,True,63,138,1.6,45.65
https://lucky7evencasino.com,lucky 7even,ita,True,62,262,3.4,23.66
https://www.playmojocasino.com/,play mojo,ita,True,62,318,7.9,19.5
https://www.luckyvibecasino.com,luckyvibe,ita,True,61,1384,7.8,4.41
https://casinoroosters.com,rooster bet login,ita,True,61,734,3.7,8.31
https://lucky7evencasino.io/,lucky7even,irl,True,61,871,4.0,7.0
https://lucky7evencasino.com,lucky 7 even,aus,True,61,665,1.6,9.17
https://roosters.bet,roosterbet,est,True,61,374,4.1,16.31
https://www.spinjo.io,spinjo casino,swe,True,61,1678,3.2,3.64
https://lucky7evencasino.com,lucky7even casino,che,True,60,102,2.6,58.82
https://www.luckyvibecasino.com,lucky vibe casino login,che,True,60,68,1.2,88.24
https://lucky7evencasino.com,lucky7even,are,True,58,307,2.6,18.89
https://www.luckyvibecasino.com,lucky vibe casino,che,True,58,86,1.7,67.44
https://rocketspin.io/,rocket spin,ita,True,58,627,5.6,9.25
https://www.spinjo.io,spinjo casino,can,True,57,907,5.7,6.28
https://spinsupcasino.com/,spinsup,che,True,57,131,3.5,43.51
https://www.luckyvibecasino.com,lucky vibes casino,can,False,56,63,1.0,88.89
https://fortuneplay.casino/,fortuna play casino,ita,False,56,231,15.9,24.24
https://www.spinsup.io/,spin up,aus,True,56,133,1.9,42.11
https://www.luckyvibecasino.com,lucky vibe casino login,ita,True,56,630,1.4,8.89
https://lucky7evencasino.com,lucky7even casino,can,True,55,3746,4.2,1.47
https://www.spinsup.io/,spins up,ita,True,55,440,5.7,12.5
https://www.luckyvibe.io/,lucky vibe casino,nor,True,55,1090,4.8,5.05
https://www.luckyvibecasino.com,lucky vibe casino,svn,True,55,80,1.3,68.75
https://roosters.bet,rooster casino,qat,True,55,108,1.9,50.93
https://www.spinjocasino.com,spinjo casino,ita,True,54,625,4.9,8.64
https://lucky7evencasino.com,lucky 7 even casino,aus,True,53,376,1.7,14.1
https://fortuneplay.casino/,fortune play casino,omn,True,53,56,1.6,94.64
https://roosters.bet,rooster bet,irl,True,53,100,1.7,53.0
https://www.luckyvibecasino.com,lucky vibes casino,nzl,False,53,80,1.6,66.25
https://fortuneplay.casino/,fortune play,are,True,52,71,1.9,73.24
https://rocketspin.io/,rocketspin casino login,aus,True,51,66,1.0,77.27
https://rocketspin.io/,rocketspins,aus,False,50,87,1.8,57.47
https://lucky7evencasino.io/,lucky7even casino,dnk,True,49,196,2.2,25.0
https://lucky7evencasino.com,lucky7even,nor,True,48,491,5.4,9.78
https://fortuneplay.casino/,fortuneplay casino,ita,True,48,462,8.0,10.39
https://roosters.bet,rooster bet,kwt,True,48,171,5.0,28.07
https://roosters.bet,roosterbet,che,True,48,73,1.4,65.75
https://rollero.io/,rollero casino,ita,True,48,1447,5.6,3.32
https://www.luckyvibe.io/,luckyvibe casino,nor,True,47,1143,4.5,4.11
https://www.spinsup.io/,spinsup casino,che,True,47,104,3.6,45.19
https://www.luckyvibe.io/,lucky vibes,nzl,False,47,83,1.9,56.63
https://roostersbet.com,rooster bet australia,aus,True,47,77,1.5,61.04
https://www.spinjo.io,spinjo,aus,True,47,2111,3.9,2.23
